run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-000525,3,E3,E9,E5,E6,-49.000000
20260613-000525,3,E3,E9,E6,E7,298.500000
20260613-000525,3,E3,E9,E7,E8,-14.000000
20260613-000525,3,E3,E9,E10,E11,272.000000
20260613-000525,3,E3,E9,E11,E12,256.000000
20260613-000525,3,E3,E9,E12,E1,16.000000
20260613-000525,3,E4,E10,E1,E2,28.000000
20260613-000525,3,E4,E10,E2,E3,18.000000
20260613-000525,3,E4,E10,E5,E6,-52.000000
20260613-000525,3,E4,E10,E6,E7,302.500000
20260613-000525,3,E4,E10,E7,E8,-10.500000
20260613-000525,3,E4,E10,E8,E9,-243.000000
20260613-000525,3,E4,E10,E11,E12,257.500000
20260613-000525,3,E4,E10,E12,E1,18.000000
20260613-000525,3,E5,E11,E1,E2,30.000000
20260613-000525,3,E5,E11,E2,E3,17.500000
20260613-000525,3,E5,E11,E3,E4,-2.000000
20260613-000525,3,E5,E11,E6,E7,315.000000
20260613-000525,3,E5,E11,E7,E8,-10.000000
20260613-000525,3,E5,E11,E8,E9,-252.000000
20260613-000525,3,E5,E11,E9,E10,-308.500000
20260613-000525,3,E5,E11,E12,E1,18.000000
20260613-000525,3,E6,E12,E1,E2,32.000000
20260613-000525,3,E6,E12,E2,E3,16.500000
20260613-000525,3,E6,E12,E3,E4,-2.000000
20260613-000525,3,E6,E12,E4,E5,18.000000
20260613-000525,3,E6,E12,E7,E8,-10.000000
20260613-000525,3,E6,E12,E8,E9,-256.500000
20260613-000525,3,E6,E12,E9,E10,-314.500000
20260613-000525,3,E6,E12,E10,E11,281.500000
20260613-000525,3,E7,E1,E2,E3,9.500000
20260613-000525,3,E7,E1,E3,E4,-1.000000
20260613-000525,3,E7,E1,E4,E5,18.500000
20260613-000525,3,E7,E1,E5,E6,-58.000000
20260613-000525,3,E7,E1,E8,E9,-234.500000
20260613-000525,3,E7,E1,E9,E10,-225.000000
20260613-000525,3,E7,E1,E10,E11,253.000000
20260613-000525,3,E7,E1,E11,E12,213.000000
20260613-000525,3,E8,E2,E3,E4,-4.000000
20260613-000525,3,E8,E2,E4,E5,20.000000
20260613-000525,3,E8,E2,E5,E6,-60.000000
20260613-000525,3,E8,E2,E6,E7,364.000000
20260613-000525,3,E8,E2,E9,E10,-352.000000
20260613-000525,3,E8,E2,E10,E11,324.500000
20260613-000525,3,E8,E2,E11,E12,306.000000
20260613-000525,3,E8,E2,E12,E1,19.000000
20260613-000525,3,E9,E3,E1,E2,25.000000
20260613-000525,3,E9,E3,E4,E5,20.000000
20260613-000525,3,E9,E3,E5,E6,-62.000000
20260613-000525,3,E9,E3,E6,E7,373.500000
20260613-000525,3,E9,E3,E7,E8,-14.000000
20260613-000525,3,E9,E3,E10,E11,332.500000
20260613-000525,3,E9,E3,E11,E12,314.000000
20260613-000525,3,E9,E3,E12,E1,20.000000
20260613-000525,3,E10,E4,E1,E2,27.000000
20260613-000525,3,E10,E4,E2,E3,14.000000
20260613-000525,3,E10,E4,E5,E6,-62.000000
20260613-000525,3,E10,E4,E6,E7,332.000000
20260613-000525,3,E10,E4,E7,E8,-8.500000
20260613-000525,3,E10,E4,E8,E9,-266.500000
20260613-000525,3,E10,E4,E11,E12,285.500000
20260613-000525,3,E10,E4,E12,E1,20.500000
20260613-000525,3,E11,E5,E1,E2,28.000000
20260613-000525,3,E11,E5,E2,E3,14.500000
